datetime,open,high,low,close,vol,amount,ma5,ma10
2017/10/26 11:20,8.57,8.58,8.57,8.57,161,138000,8.572,8.561111111
2017/10/26 11:21,8.57,8.58,8.57,8.58,54,46300,8.57,8.564444444
2017/10/26 11:22,8.57,8.57,8.57,8.57,10,8600,8.568,8.566666667
2017/10/26 11:23,8.58,8.58,8.57,8.57,254,217900,8.572,8.57
2017/10/26 11:24,8.58,8.58,8.58,8.58,30,25700,8.574,8.573333333
2017/10/26 11:25,8.58,8.58,8.58,8.58,13,11200,8.576,8.573333333
2017/10/26 11:26,8.58,8.58,8.57,8.57,281,240800,8.578,8.573333333
2017/10/26 11:27,8.56,8.57,8.56,8.57,252,215700,8.576,8.573333333
2017/10/26 11:28,8.56,8.57,8.56,8.56,13,11200,8.572,8.572222222
2017/10/26 11:29,8.56,8.57,8.56,8.57,35,29900,8.568,8.571111111
2017/10/26 11:30,8.56,8.56,8.56,8.56,44,37700,8.564,8.57
2017/10/26 13:01,8.56,8.56,8.55,8.55,448,383500,8.56,8.568888889
2017/10/26 13:02,8.55,8.56,8.55,8.56,31,26500,8.558,8.565555556
2017/10/26 13:03,8.55,8.55,8.55,8.55,5,4300,8.556,8.562222222
2017/10/26 13:04,8.55,8.55,8.54,8.55,137,117100,8.554,8.558888889
2017/10/26 13:05,8.55,8.55,8.54,8.55,75,64100,8.552,8.555555556
2017/10/26 13:06,8.55,8.55,8.54,8.55,52,44400,8.55,8.554444444
2017/10/26 13:07,8.54,8.55,8.54,8.54,127,108500,8.548,8.552222222
2017/10/26 13:08,8.54,8.54,8.54,8.54,30,25600,8.546,8.55
2017/10/26 13:09,8.54,8.55,8.54,8.55,23,19600,8.544,8.547777778
2017/10/26 13:10,8.55,8.55,8.55,8.55,84,71800,8.544,8.546666667
2017/10/26 13:11,8.55,8.55,8.5,8.5,1847,1574000,8.544,8.546666667
2017/10/26 13:12,8.51,8.54,8.51,8.52,77,65600,8.538,8.542222222
2017/10/26 13:13,8.53,8.53,8.52,8.52,80,68100,8.536,8.54
2017/10/26 13:14,8.52,8.52,8.51,8.52,662,563700,8.532,8.536666667
2017/10/26 13:15,8.52,8.52,8.52,8.52,238,202800,8.526,8.533333333
2017/10/26 13:16,8.52,8.53,8.51,8.52,232,197600,8.52,8.531111111
2017/10/26 13:17,8.52,8.52,8.51,8.52,79,67300,8.522,8.528888889
2017/10/26 13:18,8.51,8.52,8.51,8.51,287,244400,8.518,8.525555556
2017/10/26 13:19,8.52,8.52,8.51,8.51,168,143100,8.518,8.522222222
2017/10/26 13:20,8.51,8.52,8.51,8.51,156,132800,8.516,8.517777778
2017/10/26 13:21,8.51,8.52,8.51,8.51,92,78300,8.514,8.517777778
2017/10/26 13:22,8.52,8.52,8.51,8.51,84,71600,8.514,8.516666667
2017/10/26 13:23,8.52,8.52,8.51,8.52,151,128600,8.516,8.516666667
2017/10/26 13:24,8.52,8.52,8.51,8.52,89,75800,8.516,8.516666667
2017/10/26 13:25,8.52,8.52,8.52,8.52,85,72400,8.518,8.516666667
2017/10/26 13:26,8.52,8.53,8.51,8.51,55,46800,8.52,8.516666667
2017/10/26 13:27,8.51,8.52,8.51,8.52,146,124300,8.518,8.516666667
2017/10/26 13:28,8.52,8.52,8.51,8.51,51,43400,8.518,8.516666667
2017/10/26 13:29,8.52,8.52,8.51,8.52,86,73300,8.518,8.517777778
2017/10/26 13:30,8.51,8.53,8.51,8.52,286,243500,8.516,8.517777778
2017/10/26 13:31,8.52,8.53,8.52,8.53,24,20500,8.516,8.517777778
2017/10/26 13:32,8.53,8.53,8.52,8.52,170,144800,8.52,8.518888889
2017/10/26 13:33,8.52,8.52,8.51,8.52,118,100500,8.52,8.518888889
2017/10/26 13:34,8.52,8.52,8.52,8.52,35,29800,8.52,8.518888889
2017/10/26 13:35,8.52,8.52,8.52,8.52,174,148300,8.522,8.518888889
2017/10/26 13:36,8.52,8.52,8.52,8.52,75,63900,8.522,8.52
2017/10/26 13:37,8.52,8.52,8.51,8.52,78,66400,8.52,8.52
2017/10/26 13:38,8.52,8.52,8.49,8.5,1852,1574600,8.52,8.52
2017/10/26 13:39,8.5,8.5,8.48,8.48,1356,1151200,8.516,8.518888889
2017/10/26 13:40,8.49,8.49,8.48,8.49,452,383400,8.51,8.515555556
2017/10/26 13:41,8.49,8.5,8.48,8.49,428,363600,8.504,8.511111111
2017/10/26 13:42,8.5,8.5,8.49,8.5,59,50100,8.5,8.508888889
2017/10/26 13:43,8.49,8.5,8.49,8.49,247,209800,8.494,8.505555556
2017/10/26 13:44,8.49,8.49,8.49,8.49,216,183400,8.492,8.502222222
2017/10/26 13:45,8.49,8.49,8.48,8.49,911,772600,8.492,8.498888889
2017/10/26 13:46,8.48,8.49,8.48,8.48,370,313800,8.49,8.494444444
2017/10/26 13:47,8.47,8.48,8.46,8.46,682,577700,8.484,8.488888889
2017/10/26 13:48,8.47,8.47,8.42,8.43,2047,1728600,8.48,8.485555556
2017/10/26 13:49,8.43,8.45,8.43,8.44,335,282700,8.468,8.478888889
2017/10/26 13:50,8.45,8.45,8.44,8.45,464,391800,8.46,8.474444444
2017/10/26 13:51,8.45,8.45,8.44,8.44,539,455100,8.454,8.468888889
2017/10/26 13:52,8.45,8.45,8.43,8.44,393,331600,8.45,8.464444444
2017/10/26 13:53,8.44,8.44,8.43,8.43,848,715100,8.444,8.458888889
2017/10/26 13:54,8.44,8.44,8.44,8.44,1193,1006900,8.446,8.453333333
2017/10/26 13:55,8.44,8.45,8.44,8.45,46,38800,8.444,8.448888889
2017/10/26 13:56,8.44,8.44,8.43,8.43,433,365400,8.442,8.445555556
2017/10/26 13:57,8.44,8.44,8.41,8.41,1561,1314800,8.44,8.442222222
2017/10/26 13:58,8.42,8.42,8.4,8.41,1701,1430300,8.436,8.441111111
2017/10/26 13:59,8.42,8.42,8.39,8.4,749,629300,8.432,8.437777778
2017/10/26 14:00,8.4,8.43,8.4,8.41,773,649700,8.424,8.432222222
2017/10/26 14:01,8.41,8.42,8.4,8.41,296,248900,8.418,8.427777778
2017/10/26 14:02,8.41,8.43,8.41,8.43,324,272600,8.412,8.424444444
2017/10/26 14:03,8.42,8.43,8.42,8.43,212,178600,8.412,8.422222222
2017/10/26 14:04,8.42,8.42,8.41,8.41,479,403200,8.412,8.42
