datetime,open,high,low,close,vol,amount,change,changerate,amplitude,openinterest,ma1,ma2,ma3,ma4
2020/12/17 14:00,9.2233,9.2331,9.2038,9.2136,7830,7409580,-0.0195,-0.0021,0.0032,13,9.2331,9.1844,9.1016,9.0735
2020/12/17 14:10,9.2233,9.2331,9.2136,9.2233,7040,6665415,0.0097,0.0011,0.0021,13,9.2233,9.198,9.1123,9.0756
2020/12/17 14:20,9.2331,9.2331,9.1941,9.2233,9180,8685794,0,0,0.0042,13,9.2233,9.2107,9.1235,9.0782
2020/12/17 14:30,9.2233,9.2623,9.2136,9.2525,16073,15260550,0.0292,0.0032,0.0053,13,9.2292,9.2204,9.1352,9.0814
2020/12/17 14:40,9.2525,9.3402,9.2428,9.311,44222,42177157,0.0584,0.0063,0.0105,13,9.2447,9.236,9.1493,9.0857
2020/12/17 14:50,9.311,9.4084,9.311,9.3889,60898,58662644,0.0779,0.0084,0.0105,13,9.2798,9.2564,9.1688,9.0912
2020/12/17 15:00,9.3889,9.3889,9.3597,9.3694,35112,33807723,-0.0195,-0.0021,0.0031,15,9.309,9.2662,9.1868,9.0964
2020/12/18 9:40,9.3402,9.3694,9.2818,9.3305,31138,29805968,-0.039,-0.0042,0.0094,13,9.3305,9.2769,9.2024,9.1012
2020/12/18 9:50,9.3305,9.3597,9.2818,9.3499,16676,15945976,0.0195,0.0021,0.0084,13,9.3499,9.2895,9.2189,9.1064
2020/12/18 10:00,9.3499,9.3499,9.2428,9.2525,25540,24372824,-0.0974,-0.0104,0.0115,13,9.3382,9.2915,9.2306,9.1099
2020/12/18 10:10,9.2525,9.2915,9.2525,9.2623,14887,14163676,0.0097,0.0011,0.0042,13,9.3129,9.2964,9.2404,9.1133
2020/12/18 10:20,9.2623,9.272,9.2233,9.2428,15049,14287256,-0.0195,-0.0021,0.0053,13,9.2876,9.2983,9.2482,9.1163
2020/12/18 10:30,9.2428,9.2623,9.2233,9.2428,11588,10990959,0,0,0.0042,13,9.2701,9.3003,9.2555,9.1191
2020/12/18 10:40,9.2331,9.2623,9.2233,9.2623,12304,11672053,0.0195,0.0021,0.0042,13,9.2525,9.3012,9.2608,9.122
2020/12/18 10:50,9.272,9.311,9.2623,9.2623,11674,11123838,0,0,0.0053,13,9.2545,9.2964,9.2662,9.1249
2020/12/18 11:00,9.2623,9.2915,9.2525,9.2525,8837,8409129,-0.0097,-0.0011,0.0042,13,9.2525,9.2827,9.2696,9.1277
2020/12/18 11:10,9.2623,9.2818,9.2525,9.272,4461,4245006,0.0195,0.0021,0.0032,13,9.2584,9.273,9.2696,9.1308
2020/12/18 11:20,9.272,9.272,9.2428,9.272,2288,2174158,0,0,0.0032,13,9.2642,9.2671,9.272,9.1339
2020/12/18 11:30,9.272,9.3012,9.2623,9.2915,3702,3529238,0.0195,0.0021,0.0042,14,9.2701,9.2613,9.2754,9.1371
2020/12/18 13:10,9.3012,9.3012,9.272,9.272,8752,8342604,-0.0195,-0.0021,0.0031,13,9.272,9.2632,9.2774,9.1402
